animal_id,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,outcome_age,cat/kitten,age_group,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
A666677,1,Intact Male,Male,No,5,7,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Died-- In Kennel
A674737,1,Intact Male,Male,No,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
A674564,1,Spayed Female,Female,Yes,9,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
A676440,0,Intact Female,Female,No,1,7,0,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
A662822,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
A677216,0,Intact Male,Male,No,4,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
A687041,0,Intact Male,Male,No,1,7,0,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
A689349,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",siamese,True,False,tortie,Breed Specific,none,tortie,Transfer-- Partner
A668549,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",siamese,True,False,point,flame,none,flame,Transfer-- Partner
A635698,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,missing,black,none,black,Adoption-- 
A687495,0,Intact Male,Male,No,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
A664070,0,Neutered Male,Male,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,white,blue,white,Transfer-- Partner
A668908,1,Neutered Male,Male,Yes,8,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,white,blue,white,Return to Owner-- 
A668683,1,Neutered Male,Male,Yes,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Adoption-- 
A676213,1,Spayed Female,Female,Yes,8,365,6,Cat,"(6.6, 8.8]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
A674396,1,Spayed Female,Female,Yes,5,365,5,Cat,"(4.4, 6.6]",siamese,True,False,tortie,Breed Specific,none,tortie,Transfer-- Partner
A686214,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,white,black,white,Transfer-- Partner
A683238,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- Partner
A680461,1,Spayed Female,Female,Yes,4,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,white,black,white,Adoption-- Foster
A677282,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- 
A665145,1,Neutered Male,Male,Yes,8,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
A686795,0,Intact Female,Female,No,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
A688059,1,Intact Female,Female,No,5,7,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
A688519,1,Intact Female,Female,No,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
A682075,0,Intact Female,Female,No,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
A679737,0,Unknown,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,missing,black,white,black,Transfer-- SCRP
A679717,0,Intact Female,Female,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
A672589,0,Neutered Male,Male,Yes,10,365,6,Cat,"(8.8, 11.0]",domestic mediumhair,False,True,tabby,orange,none,orange,Euthanasia-- Suffering
A672516,0,Intact Male,Male,No,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
A666154,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
A670830,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A674282,1,Neutered Male,Male,Yes,8,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
A683186,0,Intact Male,Male,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,white,blue,white,Transfer-- Partner
A691275,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
